96,30,102,30,102,41,96,41
138,28,184,30,183,43,138,41
186,31,235,33,234,44,186,42
369,30,414,30,414,44,369,44
416,29,468,29,468,44,416,44
;93,52,113,52,113,61,93,61
120,50,142,50,142,62,120,62
146,52,197,52,197,62,146,62
208,53,233,53,233,64,208,64
237,51,256,53,255,63,236,61
261,54,282,54,282,62,261,62
326,50,360,50,360,62,326,62
364,48,381,48,381,61,364,61
381,47,412,49,411,61,380,59
432,46,450,46,450,60,432,60
452,50,473,50,473,60,452,60
476,49,498,49,498,58,476,58
498,46,510,46,510,57,498,57
;94,65,112,65,112,74,94,74
114,64,137,64,137,77,114,77
141,62,200,62,200,76,141,76
201,62,234,62,234,76,201,76
236,64,250,64,250,76,236,76
252,64,278,64,278,77,252,77
324,63,348,65,347,77,323,75
349,65,417,63,417,74,349,76
418,65,424,65,424,74,418,74
425,60,454,64,452,79,423,74
454,61,465,61,465,73,454,73
464,60,512,60,512,73,464,73
;94,78,142,78,142,89,94,89
144,77,206,77,206,92,144,92
221,77,282,77,282,90,221,90
324,77,340,77,340,90,324,90
344,78,390,78,390,89,344,89
396,78,441,78,441,90,396,90
456,78,474,78,474,88,456,88
476,73,512,73,512,89,476,89
;92,90,127,88,128,103,93,106
129,90,145,90,145,104,129,104
145,90,158,90,158,102,145,102
161,90,209,90,209,104,161,104
216,92,240,92,240,104,216,104
244,93,265,93,265,105,244,105
266,92,282,92,282,105,266,105
326,94,357,94,357,104,326,104
361,94,409,94,409,106,361,106
418,93,451,91,452,101,418,103
456,90,470,90,470,101,456,101
469,88,488,88,488,101,469,101
489,90,513,88,514,101,490,103
;108,104,164,104,164,117,108,117
182,109,217,109,217,118,182,118
221,109,241,109,241,118,221,118
245,108,268,108,268,121,245,121
269,106,282,106,282,118,269,118
326,109,375,107,376,117,326,119
377,104,398,104,398,117,377,117
401,104,428,104,428,117,401,117
430,104,444,104,444,116,430,116
444,103,470,101,471,114,445,116
474,105,485,105,485,114,474,114
485,104,512,99,515,113,488,118
;93,117,128,117,128,130,93,130
136,120,185,120,185,132,136,132
